Agency,Fund,FY15 Mayors Proposed Budget
CHILD AND FAMILY SERVICES,GENERAL FUND,761295
CHILD AND FAMILY SERVICES,GENERAL FUND,805000
CHILD AND FAMILY SERVICES,FEDERAL RESOURCES,833282.61
CHILD AND FAMILY SERVICES,GENERAL FUND,882335.57
CHILD AND FAMILY SERVICES,GENERAL FUND,900000
CHILD AND FAMILY SERVICES,FEDERAL RESOURCES,900000
CHILD AND FAMILY SERVICES,GENERAL FUND,908624.53
CHILD AND FAMILY SERVICES,FEDERAL RESOURCES,929649.11
CHILD AND FAMILY SERVICES,FEDERAL RESOURCES,954026
CHILD AND FAMILY SERVICES,GENERAL FUND,978324.81
CHILD AND FAMILY SERVICES,GENERAL FUND,998080
CHILD AND FAMILY SERVICES,FEDERAL RESOURCES,1016023.37
CHILD AND FAMILY SERVICES,GENERAL FUND,1022904.15
CHILD AND FAMILY SERVICES,FEDERAL RESOURCES,1042869
CHILD AND FAMILY SERVICES,GENERAL FUND,1137954.56
CHILD AND FAMILY SERVICES,FEDERAL RESOURCES,1148698.41
CHILD AND FAMILY SERVICES,GENERAL FUND,1152033.35
CHILD AND FAMILY SERVICES,FEDERAL RESOURCES,1164928.04
CHILD AND FAMILY SERVICES,GENERAL FUND,1183576.8
CHILD AND FAMILY SERVICES,GENERAL FUND,1194752.79
CHILD AND FAMILY SERVICES,GENERAL FUND,1200000.01
CHILD AND FAMILY SERVICES,GENERAL FUND,1230580.41
CHILD AND FAMILY SERVICES,FEDERAL RESOURCES,1231704
CHILD AND FAMILY SERVICES,GENERAL FUND,1265713.97
CHILD AND FAMILY SERVICES,GENERAL FUND,1304417.06
CHILD AND FAMILY SERVICES,GENERAL FUND,1367316.07
CHILD AND FAMILY SERVICES,GENERAL FUND,1370606.42
CHILD AND FAMILY SERVICES,GENERAL FUND,1437740.78
CHILD AND FAMILY SERVICES,GENERAL FUND,1447861.8
CHILD AND FAMILY SERVICES,GENERAL FUND,1507014.21
CHILD AND FAMILY SERVICES,GENERAL FUND,1731670.63
CHILD AND FAMILY SERVICES,GENERAL FUND,1791600
CHILD AND FAMILY SERVICES,GENERAL FUND,1916017.18
CHILD AND FAMILY SERVICES,GENERAL FUND,1916958.06
CHILD AND FAMILY SERVICES,GENERAL FUND,1954951
CHILD AND FAMILY SERVICES,FEDERAL RESOURCES,2000000
CHILD AND FAMILY SERVICES,GENERAL FUND,2048943
CHILD AND FAMILY SERVICES,GENERAL FUND,2198998.32
CHILD AND FAMILY SERVICES,FEDERAL RESOURCES,2379980.58
CHILD AND FAMILY SERVICES,FEDERAL RESOURCES,2526777
CHILD AND FAMILY SERVICES,GENERAL FUND,2813258.99
CHILD AND FAMILY SERVICES,GENERAL FUND,2824469.15
CHILD AND FAMILY SERVICES,FEDERAL RESOURCES,2848094.93
CHILD AND FAMILY SERVICES,GENERAL FUND,3041505
CHILD AND FAMILY SERVICES,GENERAL FUND,3529342.07
CHILD AND FAMILY SERVICES,GENERAL FUND,4011634.51
CHILD AND FAMILY SERVICES,GENERAL FUND,4600260.99
CHILD AND FAMILY SERVICES,FEDERAL RESOURCES,4922530
CHILD AND FAMILY SERVICES,GENERAL FUND,5255429.19
CHILD AND FAMILY SERVICES,GENERAL FUND,5482425.51
CHILD AND FAMILY SERVICES,GENERAL FUND,5687264.2
CHILD AND FAMILY SERVICES,GENERAL FUND,5702035
CHILD AND FAMILY SERVICES,GENERAL FUND,7822213.4
CHILD AND FAMILY SERVICES,GENERAL FUND,9664409.37
CHILD AND FAMILY SERVICES,INTRA-DISTRICT FUNDS,10000000
CHILD AND FAMILY SERVICES,FEDERAL RESOURCES,12222707
CHILD AND FAMILY SERVICES,GENERAL FUND,13072260.6
CHILD AND FAMILY SERVICES,FEDERAL RESOURCES,13486133
CHILD AND FAMILY SERVICES,GENERAL FUND,41520853.42
CHILDREN INVESTMENT TRUST,GENERAL FUND,3000000
CITY ADMINISTRATOR / DEPUTY MAYOR,GENERAL FUND,3043.35
CITY ADMINISTRATOR / DEPUTY MAYOR,GENERAL FUND,5000
CITY ADMINISTRATOR / DEPUTY MAYOR,GENERAL FUND,9216
CITY ADMINISTRATOR / DEPUTY MAYOR,GENERAL FUND,13784.01
CITY ADMINISTRATOR / DEPUTY MAYOR,GENERAL FUND,25305
CITY ADMINISTRATOR / DEPUTY MAYOR,GENERAL FUND,40559.92
CITY ADMINISTRATOR / DEPUTY MAYOR,INTRA-DISTRICT FUNDS,67786.72
CITY ADMINISTRATOR / DEPUTY MAYOR,GENERAL FUND,69000
CITY ADMINISTRATOR / DEPUTY MAYOR,GENERAL FUND,73750
CITY ADMINISTRATOR / DEPUTY MAYOR,GENERAL FUND,156444.64
CITY ADMINISTRATOR / DEPUTY MAYOR,INTRA-DISTRICT FUNDS,271146.87
CITY ADMINISTRATOR / DEPUTY MAYOR,GENERAL FUND,278829.01
CITY ADMINISTRATOR / DEPUTY MAYOR,GENERAL FUND,295000
CITY ADMINISTRATOR / DEPUTY MAYOR,GENERAL FUND,332444.94
CITY ADMINISTRATOR / DEPUTY MAYOR,GENERAL FUND,958871.43
CITY ADMINISTRATOR / DEPUTY MAYOR,GENERAL FUND,1329779.71
COMM OF JUDICIAL DISABILITIES & TENURE,FEDERAL RESOURCES,500
COMM OF JUDICIAL DISABILITIES & TENURE,FEDERAL RESOURCES,800
COMM OF JUDICIAL DISABILITIES & TENURE,FEDERAL RESOURCES,1000
COMM OF JUDICIAL DISABILITIES & TENURE,FEDERAL RESOURCES,1500
COMM OF JUDICIAL DISABILITIES & TENURE,FEDERAL RESOURCES,1754.91
COMM OF JUDICIAL DISABILITIES & TENURE,FEDERAL RESOURCES,2500
COMM OF JUDICIAL DISABILITIES & TENURE,FEDERAL RESOURCES,3265
COMM OF JUDICIAL DISABILITIES & TENURE,FEDERAL RESOURCES,3361
COMM OF JUDICIAL DISABILITIES & TENURE,FEDERAL RESOURCES,3500
COMM OF JUDICIAL DISABILITIES & TENURE,FEDERAL RESOURCES,4000.01
COMM OF JUDICIAL DISABILITIES & TENURE,FEDERAL RESOURCES,5800
COMM OF JUDICIAL DISABILITIES & TENURE,FEDERAL RESOURCES,7795.77
COMM OF JUDICIAL DISABILITIES & TENURE,FEDERAL RESOURCES,9045.21
COMM OF JUDICIAL DISABILITIES & TENURE,FEDERAL RESOURCES,22017.65
COMM OF JUDICIAL DISABILITIES & TENURE,FEDERAL RESOURCES,28000
COMM OF JUDICIAL DISABILITIES & TENURE,FEDERAL RESOURCES,200160.46
COMMISSION ON ARTS & HUMANITIES,GENERAL FUND,1000.13
COMMISSION ON ARTS & HUMANITIES,GENERAL FUND,1538.02
COMMISSION ON ARTS & HUMANITIES,GENERAL FUND,1538.02
COMMISSION ON ARTS & HUMANITIES,GENERAL FUND,1906.11
COMMISSION ON ARTS & HUMANITIES,GENERAL FUND,2904.69
COMMISSION ON ARTS & HUMANITIES,GENERAL FUND,3125
COMMISSION ON ARTS & HUMANITIES,GENERAL FUND,3812.22
COMMISSION ON ARTS & HUMANITIES,GENERAL FUND,4000
COMMISSION ON ARTS & HUMANITIES,GENERAL FUND,4000
COMMISSION ON ARTS & HUMANITIES,GENERAL FUND,4489.35
COMMISSION ON ARTS & HUMANITIES,GENERAL FUND,5000
COMMISSION ON ARTS & HUMANITIES,GENERAL FUND,5000
COMMISSION ON ARTS & HUMANITIES,GENERAL FUND,5340.54
COMMISSION ON ARTS & HUMANITIES,GENERAL FUND,6241.75
COMMISSION ON ARTS & HUMANITIES,GENERAL FUND,6889.39
COMMISSION ON ARTS & HUMANITIES,GENERAL FUND,7325.24
COMMISSION ON ARTS & HUMANITIES,GENERAL FUND,8159.53
COMMISSION ON ARTS & HUMANITIES,GENERAL FUND,9120.14
COMMISSION ON ARTS & HUMANITIES,GENERAL FUND,9320.2
COMMISSION ON ARTS & HUMANITIES,FEDERAL RESOURCES,10000.01
COMMISSION ON ARTS & HUMANITIES,GENERAL FUND,10766.15
COMMISSION ON ARTS & HUMANITIES,FEDERAL RESOURCES,12054.66
COMMISSION ON ARTS & HUMANITIES,GENERAL FUND,12360
COMMISSION ON ARTS & HUMANITIES,FEDERAL RESOURCES,13412.38
COMMISSION ON ARTS & HUMANITIES,GENERAL FUND,13842.2
COMMISSION ON ARTS & HUMANITIES,GENERAL FUND,14145.18
COMMISSION ON ARTS & HUMANITIES,GENERAL FUND,14786.62
COMMISSION ON ARTS & HUMANITIES,GENERAL FUND,15000
COMMISSION ON ARTS & HUMANITIES,GENERAL FUND,15000
COMMISSION ON ARTS & HUMANITIES,GENERAL FUND,15806.51
COMMISSION ON ARTS & HUMANITIES,GENERAL FUND,16022.62
COMMISSION ON ARTS & HUMANITIES,GENERAL FUND,18240.27
COMMISSION ON ARTS & HUMANITIES,GENERAL FUND,19476.27
COMMISSION ON ARTS & HUMANITIES,GENERAL FUND,21480.12
COMMISSION ON ARTS & HUMANITIES,GENERAL FUND,21521
COMMISSION ON ARTS & HUMANITIES,FEDERAL RESOURCES,23365.9
COMMISSION ON ARTS & HUMANITIES,GENERAL FUND,23550
COMMISSION ON ARTS & HUMANITIES,FEDERAL RESOURCES,26677.44
COMMISSION ON ARTS & HUMANITIES,GENERAL FUND,26865.13
COMMISSION ON ARTS & HUMANITIES,GENERAL FUND,27555
COMMISSION ON ARTS & HUMANITIES,GENERAL FUND,29092.78
COMMISSION ON ARTS & HUMANITIES,GENERAL FUND,32963.58
COMMISSION ON ARTS & HUMANITIES,GENERAL FUND,35000
COMMISSION ON ARTS & HUMANITIES,GENERAL FUND,37269.01
COMMISSION ON ARTS & HUMANITIES,GENERAL FUND,37502.76
COMMISSION ON ARTS & HUMANITIES,FEDERAL RESOURCES,38875.02
COMMISSION ON ARTS & HUMANITIES,FEDERAL RESOURCES,45700
COMMISSION ON ARTS & HUMANITIES,FEDERAL RESOURCES,45897.83
COMMISSION ON ARTS & HUMANITIES,FEDERAL RESOURCES,51914.56
COMMISSION ON ARTS & HUMANITIES,GENERAL FUND,55961.92
COMMISSION ON ARTS & HUMANITIES,GENERAL FUND,56152.96
COMMISSION ON ARTS & HUMANITIES,FEDERAL RESOURCES,57677.81
COMMISSION ON ARTS & HUMANITIES,GENERAL FUND,63803.73
COMMISSION ON ARTS & HUMANITIES,FEDERAL RESOURCES,64174.07
COMMISSION ON ARTS & HUMANITIES,GENERAL FUND,67680.27
COMMISSION ON ARTS & HUMANITIES,GENERAL FUND,75396.17
COMMISSION ON ARTS & HUMANITIES,FEDERAL RESOURCES,81745.43
COMMISSION ON ARTS & HUMANITIES,GENERAL FUND,112769.88
COMMISSION ON ARTS & HUMANITIES,GENERAL FUND,154990.54
COMMISSION ON ARTS & HUMANITIES,FEDERAL RESOURCES,186004.89
COMMISSION ON ARTS & HUMANITIES,GENERAL FUND,200000.01
COMMISSION ON ARTS & HUMANITIES,FEDERAL RESOURCES,999999.99
COMMISSION ON ARTS & HUMANITIES,GENERAL FUND,1425000
COMMISSION ON ARTS & HUMANITIES,GENERAL FUND,1520000
COMMISSION ON ARTS & HUMANITIES,GENERAL FUND,10521874
CONTRACT APPEALS BOARD,GENERAL FUND,1000
CONTRACT APPEALS BOARD,GENERAL FUND,1604.32
CONTRACT APPEALS BOARD,GENERAL FUND,3901
CONTRACT APPEALS BOARD,GENERAL FUND,7704
CONTRACT APPEALS BOARD,GENERAL FUND,9000
CONTRACT APPEALS BOARD,GENERAL FUND,9686.49
CONTRACT APPEALS BOARD,GENERAL FUND,10000
CONTRACT APPEALS BOARD,GENERAL FUND,12600
CONTRACT APPEALS BOARD,GENERAL FUND,13100
CONTRACT APPEALS BOARD,GENERAL FUND,34717.94
CONTRACT APPEALS BOARD,GENERAL FUND,150977
CONTRACT APPEALS BOARD,GENERAL FUND,162995
CONTRACT APPEALS BOARD,GENERAL FUND,346880.55
CONTRACT APPEALS BOARD,GENERAL FUND,361931.7
CONVENTION CENTER TRANSFER-DEDICATED TAX,GENERAL FUND,3000000.03
CONVENTION CENTER TRANSFER-DEDICATED TAX,GENERAL FUND,111719000
COUNCIL OF THE DISTRICT OF COLUMBIA,GENERAL FUND,5500
COUNCIL OF THE DISTRICT OF COLUMBIA,GENERAL FUND,9063
COUNCIL OF THE DISTRICT OF COLUMBIA,GENERAL FUND,10000
COUNCIL OF THE DISTRICT OF COLUMBIA,GENERAL FUND,18740
COUNCIL OF THE DISTRICT OF COLUMBIA,GENERAL FUND,18740
COUNCIL OF THE DISTRICT OF COLUMBIA,GENERAL FUND,18740
COUNCIL OF THE DISTRICT OF COLUMBIA,GENERAL FUND,18740
COUNCIL OF THE DISTRICT OF COLUMBIA,GENERAL FUND,18740
COUNCIL OF THE DISTRICT OF COLUMBIA,GENERAL FUND,18740
COUNCIL OF THE DISTRICT OF COLUMBIA,GENERAL FUND,18740
COUNCIL OF THE DISTRICT OF COLUMBIA,GENERAL FUND,18740
COUNCIL OF THE DISTRICT OF COLUMBIA,GENERAL FUND,18740
COUNCIL OF THE DISTRICT OF COLUMBIA,GENERAL FUND,18740
COUNCIL OF THE DISTRICT OF COLUMBIA,GENERAL FUND,18740
COUNCIL OF THE DISTRICT OF COLUMBIA,GENERAL FUND,18740
COUNCIL OF THE DISTRICT OF COLUMBIA,GENERAL FUND,25000
COUNCIL OF THE DISTRICT OF COLUMBIA,GENERAL FUND,25911
COUNCIL OF THE DISTRICT OF COLUMBIA,INTRA-DISTRICT FUNDS,69720
COUNCIL OF THE DISTRICT OF COLUMBIA,GENERAL FUND,100000
COUNCIL OF THE DISTRICT OF COLUMBIA,GENERAL FUND,133882
COUNCIL OF THE DISTRICT OF COLUMBIA,GENERAL FUND,143038.01
COUNCIL OF THE DISTRICT OF COLUMBIA,GENERAL FUND,147360
COUNCIL OF THE DISTRICT OF COLUMBIA,GENERAL FUND,426800
COUNCIL OF THE DISTRICT OF COLUMBIA,GENERAL FUND,433452
COUNCIL OF THE DISTRICT OF COLUMBIA,GENERAL FUND,433452
COUNCIL OF THE DISTRICT OF COLUMBIA,GENERAL FUND,433452
COUNCIL OF THE DISTRICT OF COLUMBIA,GENERAL FUND,433452
COUNCIL OF THE DISTRICT OF COLUMBIA,GENERAL FUND,433452
COUNCIL OF THE DISTRICT OF COLUMBIA,GENERAL FUND,433452
COUNCIL OF THE DISTRICT OF COLUMBIA,GENERAL FUND,433452
COUNCIL OF THE DISTRICT OF COLUMBIA,GENERAL FUND,433452
COUNCIL OF THE DISTRICT OF COLUMBIA,GENERAL FUND,433452
COUNCIL OF THE DISTRICT OF COLUMBIA,GENERAL FUND,466791
COUNCIL OF THE DISTRICT OF COLUMBIA,GENERAL FUND,466791
COUNCIL OF THE DISTRICT OF COLUMBIA,GENERAL FUND,466791
COUNCIL OF THE DISTRICT OF COLUMBIA,GENERAL FUND,466791
COUNCIL OF THE DISTRICT OF COLUMBIA,GENERAL FUND,466791
COUNCIL OF THE DISTRICT OF COLUMBIA,GENERAL FUND,466791
COUNCIL OF THE DISTRICT OF COLUMBIA,GENERAL FUND,466791
COUNCIL OF THE DISTRICT OF COLUMBIA,GENERAL FUND,466791
COUNCIL OF THE DISTRICT OF COLUMBIA,GENERAL FUND,466791
COUNCIL OF THE DISTRICT OF COLUMBIA,GENERAL FUND,466791
COUNCIL OF THE DISTRICT OF COLUMBIA,GENERAL FUND,466791
COUNCIL OF THE DISTRICT OF COLUMBIA,GENERAL FUND,466791
COUNCIL OF THE DISTRICT OF COLUMBIA,GENERAL FUND,682061
COUNCIL OF THE DISTRICT OF COLUMBIA,GENERAL FUND,741085
COUNCIL OF THE DISTRICT OF COLUMBIA,GENERAL FUND,742630
COUNCIL OF THE DISTRICT OF COLUMBIA,GENERAL FUND,799349
COUNCIL OF THE DISTRICT OF COLUMBIA,GENERAL FUND,1087423
COUNCIL OF THE DISTRICT OF COLUMBIA,GENERAL FUND,1627509
COUNCIL OF THE DISTRICT OF COLUMBIA,GENERAL FUND,2077847
COUNCIL OF THE DISTRICT OF COLUMBIA,GENERAL FUND,3743473
CRIMINAL JUSTICE COORDINATING COUNCIL,FEDERAL RESOURCES,500
CRIMINAL JUSTICE COORDINATING COUNCIL,FEDERAL RESOURCES,1500
CRIMINAL JUSTICE COORDINATING COUNCIL,FEDERAL RESOURCES,1500
CRIMINAL JUSTICE COORDINATING COUNCIL,FEDERAL RESOURCES,1546
CRIMINAL JUSTICE COORDINATING COUNCIL,FEDERAL RESOURCES,2500
CRIMINAL JUSTICE COORDINATING COUNCIL,FEDERAL RESOURCES,5000
CRIMINAL JUSTICE COORDINATING COUNCIL,FEDERAL RESOURCES,6000
CRIMINAL JUSTICE COORDINATING COUNCIL,FEDERAL RESOURCES,7000
CRIMINAL JUSTICE COORDINATING COUNCIL,FEDERAL RESOURCES,7588
CRIMINAL JUSTICE COORDINATING COUNCIL,INTRA-DISTRICT FUNDS,9236.69
CRIMINAL JUSTICE COORDINATING COUNCIL,FEDERAL RESOURCES,10000
CRIMINAL JUSTICE COORDINATING COUNCIL,FEDERAL RESOURCES,10000
CRIMINAL JUSTICE COORDINATING COUNCIL,FEDERAL RESOURCES,21608.74
CRIMINAL JUSTICE COORDINATING COUNCIL,FEDERAL RESOURCES,25000
CRIMINAL JUSTICE COORDINATING COUNCIL,GENERAL FUND,25935.55
CRIMINAL JUSTICE COORDINATING COUNCIL,FEDERAL RESOURCES,28000
CRIMINAL JUSTICE COORDINATING COUNCIL,FEDERAL RESOURCES,28015.62
CRIMINAL JUSTICE COORDINATING COUNCIL,FEDERAL RESOURCES,30000.01
CRIMINAL JUSTICE COORDINATING COUNCIL,FEDERAL RESOURCES,45702.7
CRIMINAL JUSTICE COORDINATING COUNCIL,INTRA-DISTRICT FUNDS,60767.67
CRIMINAL JUSTICE COORDINATING COUNCIL,FEDERAL RESOURCES,76491.85
CRIMINAL JUSTICE COORDINATING COUNCIL,FEDERAL RESOURCES,80000
CRIMINAL JUSTICE COORDINATING COUNCIL,FEDERAL RESOURCES,123562.59
CRIMINAL JUSTICE COORDINATING COUNCIL,FEDERAL RESOURCES,142162.79
CRIMINAL JUSTICE COORDINATING COUNCIL,GENERAL FUND,170628.64
CRIMINAL JUSTICE COORDINATING COUNCIL,FEDERAL RESOURCES,184313.24
CRIMINAL JUSTICE COORDINATING COUNCIL,FEDERAL RESOURCES,300675.66
CRIMINAL JUSTICE COORDINATING COUNCIL,GENERAL FUND,329542.81
CRIMINAL JUSTICE COORDINATING COUNCIL,FEDERAL RESOURCES,761332.81
D.C HEALTH BENEFIT EXCHANGE AUTHORITY,ENTERPRISE GENERAL FUND,1100
D.C HEALTH BENEFIT EXCHANGE AUTHORITY,ENTERPRISE GENERAL FUND,1100
D.C HEALTH BENEFIT EXCHANGE AUTHORITY,ENTERPRISE GENERAL FUND,1100
D.C HEALTH BENEFIT EXCHANGE AUTHORITY,ENTERPRISE GENERAL FUND,1200
D.C HEALTH BENEFIT EXCHANGE AUTHORITY,ENTERPRISE GENERAL FUND,3000
D.C HEALTH BENEFIT EXCHANGE AUTHORITY,ENTERPRISE GENERAL FUND,3000
D.C HEALTH BENEFIT EXCHANGE AUTHORITY,ENTERPRISE GENERAL FUND,5000
D.C HEALTH BENEFIT EXCHANGE AUTHORITY,ENTERPRISE GENERAL FUND,5000
D.C HEALTH BENEFIT EXCHANGE AUTHORITY,ENTERPRISE GENERAL FUND,5000
D.C HEALTH BENEFIT EXCHANGE AUTHORITY,ENTERPRISE GENERAL FUND,8000
D.C HEALTH BENEFIT EXCHANGE AUTHORITY,ENTERPRISE GENERAL FUND,10000
D.C HEALTH BENEFIT EXCHANGE AUTHORITY,ENTERPRISE GENERAL FUND,10000
D.C HEALTH BENEFIT EXCHANGE AUTHORITY,ENTERPRISE GENERAL FUND,12000
D.C HEALTH BENEFIT EXCHANGE AUTHORITY,ENTERPRISE GENERAL FUND,15000
D.C HEALTH BENEFIT EXCHANGE AUTHORITY,ENTERPRISE GENERAL FUND,15000
D.C HEALTH BENEFIT EXCHANGE AUTHORITY,ENTERPRISE GENERAL FUND,15000
D.C HEALTH BENEFIT EXCHANGE AUTHORITY,ENTERPRISE GENERAL FUND,22000
D.C HEALTH BENEFIT EXCHANGE AUTHORITY,ENTERPRISE GENERAL FUND,23249
D.C HEALTH BENEFIT EXCHANGE AUTHORITY,ENTERPRISE GENERAL FUND,23972
D.C HEALTH BENEFIT EXCHANGE AUTHORITY,ENTERPRISE GENERAL FUND,31510
D.C HEALTH BENEFIT EXCHANGE AUTHORITY,ENTERPRISE GENERAL FUND,35778
D.C HEALTH BENEFIT EXCHANGE AUTHORITY,ENTERPRISE GENERAL FUND,42546
D.C HEALTH BENEFIT EXCHANGE AUTHORITY,ENTERPRISE GENERAL FUND,49629
D.C HEALTH BENEFIT EXCHANGE AUTHORITY,ENTERPRISE GENERAL FUND,50922
D.C HEALTH BENEFIT EXCHANGE AUTHORITY,ENTERPRISE GENERAL FUND,63719
D.C HEALTH BENEFIT EXCHANGE AUTHORITY,ENTERPRISE GENERAL FUND,67902.5
D.C HEALTH BENEFIT EXCHANGE AUTHORITY,ENTERPRISE GENERAL FUND,70422.13
D.C HEALTH BENEFIT EXCHANGE AUTHORITY,ENTERPRISE GENERAL FUND,72015
D.C HEALTH BENEFIT EXCHANGE AUTHORITY,ENTERPRISE GENERAL FUND,75326
D.C HEALTH BENEFIT EXCHANGE AUTHORITY,ENTERPRISE GENERAL FUND,94064
D.C HEALTH BENEFIT EXCHANGE AUTHORITY,ENTERPRISE GENERAL FUND,96875.49
D.C HEALTH BENEFIT EXCHANGE AUTHORITY,ENTERPRISE GENERAL FUND,99884.12
D.C HEALTH BENEFIT EXCHANGE AUTHORITY,ENTERPRISE GENERAL FUND,100000
D.C HEALTH BENEFIT EXCHANGE AUTHORITY,ENTERPRISE GENERAL FUND,100000
D.C HEALTH BENEFIT EXCHANGE AUTHORITY,ENTERPRISE GENERAL FUND,107305
D.C HEALTH BENEFIT EXCHANGE AUTHORITY,ENTERPRISE GENERAL FUND,118694
D.C HEALTH BENEFIT EXCHANGE AUTHORITY,ENTERPRISE GENERAL FUND,131292
D.C HEALTH BENEFIT EXCHANGE AUTHORITY,ENTERPRISE GENERAL FUND,138650
D.C HEALTH BENEFIT EXCHANGE AUTHORITY,ENTERPRISE GENERAL FUND,143000
D.C HEALTH BENEFIT EXCHANGE AUTHORITY,ENTERPRISE GENERAL FUND,149076.02
D.C HEALTH BENEFIT EXCHANGE AUTHORITY,ENTERPRISE GENERAL FUND,150000
D.C HEALTH BENEFIT EXCHANGE AUTHORITY,ENTERPRISE GENERAL FUND,155018
D.C HEALTH BENEFIT EXCHANGE AUTHORITY,ENTERPRISE GENERAL FUND,169368
D.C HEALTH BENEFIT EXCHANGE AUTHORITY,ENTERPRISE GENERAL FUND,177275.36
D.C HEALTH BENEFIT EXCHANGE AUTHORITY,ENTERPRISE GENERAL FUND,195075.03
D.C HEALTH BENEFIT EXCHANGE AUTHORITY,ENTERPRISE GENERAL FUND,198919
D.C HEALTH BENEFIT EXCHANGE AUTHORITY,ENTERPRISE GENERAL FUND,206787.81
D.C HEALTH BENEFIT EXCHANGE AUTHORITY,ENTERPRISE GENERAL FUND,212176.15
D.C HEALTH BENEFIT EXCHANGE AUTHORITY,ENTERPRISE GENERAL FUND,300060.63
D.C HEALTH BENEFIT EXCHANGE AUTHORITY,ENTERPRISE GENERAL FUND,313858.55
D.C HEALTH BENEFIT EXCHANGE AUTHORITY,ENTERPRISE GENERAL FUND,364418
D.C HEALTH BENEFIT EXCHANGE AUTHORITY,ENTERPRISE GENERAL FUND,391933.32
D.C HEALTH BENEFIT EXCHANGE AUTHORITY,ENTERPRISE GENERAL FUND,447102.36
D.C HEALTH BENEFIT EXCHANGE AUTHORITY,ENTERPRISE GENERAL FUND,494556.99
D.C HEALTH BENEFIT EXCHANGE AUTHORITY,ENTERPRISE GENERAL FUND,588000
D.C HEALTH BENEFIT EXCHANGE AUTHORITY,ENTERPRISE GENERAL FUND,619100
D.C HEALTH BENEFIT EXCHANGE AUTHORITY,ENTERPRISE GENERAL FUND,645907.27
D.C HEALTH BENEFIT EXCHANGE AUTHORITY,ENTERPRISE GENERAL FUND,675000
D.C HEALTH BENEFIT EXCHANGE AUTHORITY,ENTERPRISE GENERAL FUND,694000
D.C HEALTH BENEFIT EXCHANGE AUTHORITY,ENTERPRISE GENERAL FUND,705698.32
D.C HEALTH BENEFIT EXCHANGE AUTHORITY,ENTERPRISE GENERAL FUND,1000000
D.C HEALTH BENEFIT EXCHANGE AUTHORITY,ENTERPRISE GENERAL FUND,1000000
D.C HEALTH BENEFIT EXCHANGE AUTHORITY,ENTERPRISE GENERAL FUND,1319488.54
D.C HEALTH BENEFIT EXCHANGE AUTHORITY,ENTERPRISE GENERAL FUND,1365589
D.C HEALTH BENEFIT EXCHANGE AUTHORITY,ENTERPRISE GENERAL FUND,2440000
D.C HEALTH BENEFIT EXCHANGE AUTHORITY,ENTERPRISE GENERAL FUND,4775112
D.C HEALTH BENEFIT EXCHANGE AUTHORITY,ENTERPRISE GENERAL FUND,7128468
D.C. DEPARTMENT OF HUMAN RESOURCES,GENERAL FUND,2976.91
D.C. DEPARTMENT OF HUMAN RESOURCES,INTRA-DISTRICT FUNDS,3000
D.C. DEPARTMENT OF HUMAN RESOURCES,INTRA-DISTRICT FUNDS,3500
D.C. DEPARTMENT OF HUMAN RESOURCES,INTRA-DISTRICT FUNDS,5120
D.C. DEPARTMENT OF HUMAN RESOURCES,INTRA-DISTRICT FUNDS,5500
D.C. DEPARTMENT OF HUMAN RESOURCES,GENERAL FUND,7800
D.C. DEPARTMENT OF HUMAN RESOURCES,INTRA-DISTRICT FUNDS,7955.68
D.C. DEPARTMENT OF HUMAN RESOURCES,INTRA-DISTRICT FUNDS,8192
D.C. DEPARTMENT OF HUMAN RESOURCES,GENERAL FUND,8778.52
D.C. DEPARTMENT OF HUMAN RESOURCES,INTRA-DISTRICT FUNDS,10240
D.C. DEPARTMENT OF HUMAN RESOURCES,INTRA-DISTRICT FUNDS,10347.87
D.C. DEPARTMENT OF HUMAN RESOURCES,GENERAL FUND,10986.47
D.C. DEPARTMENT OF HUMAN RESOURCES,INTRA-DISTRICT FUNDS,11035.57
D.C. DEPARTMENT OF HUMAN RESOURCES,INTRA-DISTRICT FUNDS,14500
D.C. DEPARTMENT OF HUMAN RESOURCES,GENERAL FUND,17800
D.C. DEPARTMENT OF HUMAN RESOURCES,GENERAL FUND,22210.02
D.C. DEPARTMENT OF HUMAN RESOURCES,GENERAL FUND,22570.58
D.C. DEPARTMENT OF HUMAN RESOURCES,INTRA-DISTRICT FUNDS,25600
D.C. DEPARTMENT OF HUMAN RESOURCES,GENERAL FUND,25978.5
D.C. DEPARTMENT OF HUMAN RESOURCES,INTRA-DISTRICT FUNDS,31572.38
D.C. DEPARTMENT OF HUMAN RESOURCES,INTRA-DISTRICT FUNDS,32079.35
D.C. DEPARTMENT OF HUMAN RESOURCES,GENERAL FUND,35368.67
D.C. DEPARTMENT OF HUMAN RESOURCES,GENERAL FUND,35397.24
D.C. DEPARTMENT OF HUMAN RESOURCES,GENERAL FUND,38339.69
D.C. DEPARTMENT OF HUMAN RESOURCES,INTRA-DISTRICT FUNDS,41725.3
D.C. DEPARTMENT OF HUMAN RESOURCES,GENERAL FUND,44300.3
D.C. DEPARTMENT OF HUMAN RESOURCES,INTRA-DISTRICT FUNDS,46701.33
D.C. DEPARTMENT OF HUMAN RESOURCES,GENERAL FUND,65485.3
D.C. DEPARTMENT OF HUMAN RESOURCES,GENERAL FUND,83210.4
D.C. DEPARTMENT OF HUMAN RESOURCES,INTRA-DISTRICT FUNDS,87040
D.C. DEPARTMENT OF HUMAN RESOURCES,GENERAL FUND,89556.53
